Topic (UZ),Topic (RU),Total words
Tibbiyot,Медицина,228
Sport va dam olish,Спорт и отдых,222
Inson. Qarindoshlik. Oila,Человек. Родство. Семья,174
Shahar. Transport,Город. Транспорт,173
Mahalla,Махалля,147
Bozor va bozorlik,Рынок и торговля,118
Kiyim. Poyabzal. Ranglar,Одежда. Обувь. Цвета,93
Vaqt. Taqvim,Время. Календарь,87
Kasb. Biznes,Профессия. Бизнес,82
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,77
Sonlar,Числа,72
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,69
Oshxona,Кухня,60
Hayvonlar dunyosi,В мире животных,59
Maktab,Школа,59
Intellektual faoliyat,Интеллектуальная деятельность,57
Davlat. Dunyo mamlakatlari,Государство. Страны мира,55
Huquq. Qonun,Право. Закон,55
Sayohat,Путешествие,55
O'simliklar,Растения,53
Tanishish,Знакомство,52
Tabiat. Fasllar,Природа. Времена года,39
Uy,Дом,34
Uy-ro'zg'or buyumlari,Домашние вещи,33
Alifbo,Алфавит,29
Tartib sonlar,Порядковые числительные,25
Hujjatlar mavzusi,Документы,53
,,2260